feature,family,rationale,units,availability,leakage_guard,evidence
observed__x_center,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__y_center,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__vx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__vy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__ball_dx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__ball_dy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__age,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__horizon,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__observed_fraction,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__vx_observed,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__orientation_x,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__orientation_y,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__orientation_observed,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__receiver_dx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__receiver_dy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__receiver_vx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__receiver_vy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__receiver_joint,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__passer_dx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__passer_dy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__passer_joint,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__is_offense,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_displacement_x,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_displacement_y,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_mean_vx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_mean_vy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_velocity_change_x,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_velocity_change_y,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_path_length,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_straightness,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_joint_receiver_dx_change,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_joint_receiver_dy_change,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_observed_fraction,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w5_joint_receiver_fraction,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_displacement_x,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_displacement_y,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_mean_vx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_mean_vy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_velocity_change_x,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_velocity_change_y,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_path_length,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_straightness,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_joint_receiver_dx_change,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_joint_receiver_dy_change,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_observed_fraction,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w10_joint_receiver_fraction,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_displacement_x,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_displacement_y,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_mean_vx,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_mean_vy,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_velocity_change_x,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_velocity_change_y,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_path_length,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_straightness,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_joint_receiver_dx_change,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_joint_receiver_dy_change,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_observed_fraction,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__w20_joint_receiver_fraction,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__role_Targeted Receiver,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__role_Defensive Coverage,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__role_Passer,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
observed__role_Other Route Runner,direct_observed_state,Expose an existing observed state separately from query time,Unchanged fixed-scale legacy state units,Observed prefix only; no target argument,Raw hash and exact legacy storage parity; no fitted transform,Implemented/software-tested; NFL benefit unmeasured
goal_distance,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",yards / 20,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
goal_unit_x,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",unitless,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
goal_unit_y,goal_frame_geometry,"Radial/lateral motion, arrival feasibility, receiver comparison or explicit measurement support",unitless,Observed state plus supplied landing location/horizon and query time,No target values/statistics; explicit missing support; train-only screening,Implemented/software-tested; NFL benefit unmeasured
