feature,family,signal,rationale,availability,provenance,stage,leakage_guard
lag00__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag01__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag02__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag03__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag04__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag05__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag06__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag07__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag08__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
lag09__relative_x,history_lags,motion,Recent observed paths resolve motion direction and changes.,"pre-throw tracking plus organizer-supplied landing point, horizon and role",organizer input tracking; deterministic transforms; output coordinates excluded,research,Use observed input frames and supplied context; future player coordinates excluded.
