feature,family,availability,rationale,leakage_guard,evidence_status
intercept,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
elapsed,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
elapsed_squared,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
remaining,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
phase,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
origin_offset,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__x_center,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__y_center,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__vx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__vy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__ball_dx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__ball_dy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__age,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__horizon,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__observed_fraction,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__vx_observed,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__orientation_x,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__orientation_y,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__orientation_observed,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__receiver_dx,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
response_time__receiver_dy,control,truncated observed prefix and organizer task metadata/query time,"observed motion, geometry, availability and time response","no withheld positions, target encoding or parent-model predictions in feature construction",candidate; real predictive value not yet measured
