name,block,units,definition,availability,leakage_guard,status
global_phase__log1p_trajectories,support_only,dimensionless,log1p(count of earlier-date player-play-phase donor contributions),Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
global_phase__cold_start,support_only,binary,1 when this hierarchy level has no earlier matching donor,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
global_phase__log1p_age_days,support_only,dimensionless,"log1p(days since latest earlier donor); zero when missing, with cold_start=1",Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_phase_horizon__log1p_trajectories,support_only,dimensionless,log1p(count of earlier-date player-play-phase donor contributions),Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_phase_horizon__cold_start,support_only,binary,1 when this hierarchy level has no earlier matching donor,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_phase_horizon__log1p_age_days,support_only,dimensionless,"log1p(days since latest earlier donor); zero when missing, with cold_start=1",Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_role_phase_horizon__log1p_trajectories,support_only,dimensionless,log1p(count of earlier-date player-play-phase donor contributions),Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_role_phase_horizon__cold_start,support_only,binary,1 when this hierarchy level has no earlier matching donor,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_role_phase_horizon__log1p_age_days,support_only,dimensionless,"log1p(days since latest earlier donor); zero when missing, with cold_start=1",Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_response__mean_residual_rate_x,role_response,yards/second,hierarchically shrunk mean of within-donor mean CV residual / requested seconds; not physical player velocity,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_response__mean_residual_rate_y,role_response,yards/second,hierarchically shrunk mean of within-donor mean CV residual / requested seconds; not physical player velocity,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_response__rate_sd_x,role_response,yards/second,hierarchically shrunk between-donor residual-rate dispersion; not instantaneous acceleration or calibrated uncertainty,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_response__rate_sd_y,role_response,yards/second,hierarchically shrunk between-donor residual-rate dispersion; not instantaneous acceleration or calibrated uncertainty,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_response__expected_residual_x,role_response,yards,historical mean residual rate times current supplied requested forecast seconds,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
role_response__expected_residual_y,role_response,yards,historical mean residual rate times current supplied requested forecast seconds,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_response__mean_residual_rate_x,player_response,yards/second,hierarchically shrunk mean of within-donor mean CV residual / requested seconds; not physical player velocity,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_response__mean_residual_rate_y,player_response,yards/second,hierarchically shrunk mean of within-donor mean CV residual / requested seconds; not physical player velocity,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_response__rate_sd_x,player_response,yards/second,hierarchically shrunk between-donor residual-rate dispersion; not instantaneous acceleration or calibrated uncertainty,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_response__rate_sd_y,player_response,yards/second,hierarchically shrunk between-donor residual-rate dispersion; not instantaneous acceleration or calibrated uncertainty,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_response__expected_residual_x,player_response,yards,historical mean residual rate times current supplied requested forecast seconds,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
player_response__expected_residual_y,player_response,yards,historical mean residual rate times current supplied requested forecast seconds,Strictly earlier training dates; frozen earlier-training table for evaluation,All games on current date excluded; no evaluation targets; identity is lookup only,Implemented and tested; private NFL contribution unmeasured
